rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
62,Solidity,cannon,504,81,Solidity,https://github.com/ethereum-optimism/cannon,ethereum-optimism,23,2023-02-06T12:17:03Z,On chain interactive fault prover for Ethereum
63,Solidity,solidity-examples,495,150,Solidity,https://github.com/ethereum/solidity-examples,ethereum,16,2023-01-03T17:13:31Z,Loose collection of Solidity example code
64,Solidity,ERC223-token-standard,490,249,Solidity,https://github.com/Dexaran/ERC223-token-standard,Dexaran,4,2023-02-10T15:17:03Z,ERC-223 token standard reference implementation.
65,Solidity,book,489,285,Solidity,https://github.com/foundry-rs/book,foundry-rs,53,2023-04-03T13:17:20Z,"A book on all things Foundry, available at https://book.getfoundry.sh."
66,Solidity,paradigm-ctf-2021,488,88,Solidity,https://github.com/paradigmxyz/paradigm-ctf-2021,paradigmxyz,1,2022-08-17T03:10:31Z,Official repository for Paradigm CTF 2021
67,Solidity,flashloaner-contract,487,302,Solidity,https://github.com/pedrobergamini/flashloaner-contract,pedrobergamini,4,2022-09-08T18:40:24Z,Flash loan based arbitrages examples
68,Solidity,optimal-sandwich,486,126,Solidity,https://github.com/mevcheb/optimal-sandwich,mevcheb,1,2022-01-15T04:39:56Z,we do a little bit of mathematics to make a little bit of money
69,Solidity,defi-by-example,481,202,Solidity,https://github.com/stakewithus/defi-by-example,stakewithus,8,2022-10-26T12:52:13Z,
70,Solidity,securify2,480,98,Solidity,https://github.com/eth-sri/securify2,eth-sri,32,2022-08-28T02:30:55Z,Securify v2.0
71,Solidity,permit2,480,65,Solidity,https://github.com/Uniswap/permit2,Uniswap,4,2023-03-08T18:00:31Z,🔑🔑🔑 next generation token approvals mechanism
72,Solidity,optimism-tutorial,465,185,Solidity,https://github.com/ethereum-optimism/optimism-tutorial,ethereum-optimism,1,2023-03-27T20:54:54Z,Build your first app on Optimism!
73,Solidity,ctf-blockchain,464,33,Solidity,https://github.com/minaminao/ctf-blockchain,minaminao,0,2023-04-01T01:04:50Z,A summary of 100+ CTF blockchain challenges
74,Solidity,argent-contracts,464,158,Solidity,https://github.com/argentlabs/argent-contracts,argentlabs,4,2023-03-12T11:12:24Z,Smart Contracts for Argent Wallet
75,Solidity,1inchProtocol,458,270,Solidity,https://github.com/1inch/1inchProtocol,1inch,40,2021-10-27T22:22:40Z,1inch Protocol – fully on-chain DeFi aggregation protocol
76,Solidity,sMEV,448,102,Solidity,https://github.com/bertmiller/sMEV,bertmiller,1,2021-09-06T10:59:41Z,
77,Solidity,chainlink-mix,447,178,Solidity,https://github.com/smartcontractkit/chainlink-mix,smartcontractkit,9,2023-02-08T20:58:39Z,"Working with smart contracts with eth-brownie, python, and Chainlink. "
78,Solidity,ethereum-examples,441,166,Solidity,https://github.com/provable-things/ethereum-examples,provable-things,5,2023-03-07T08:04:47Z,Code examples showing how to use the Provable API on Ethereum
79,Solidity,yearn-protocol,436,216,Solidity,https://github.com/yearn/yearn-protocol,yearn,0,2021-11-08T23:18:02Z,Yearn smart contracts
80,Solidity,bsc-genesis-contract,434,559,Solidity,https://github.com/bnb-chain/bsc-genesis-contract,bnb-chain,18,2023-04-01T19:03:13Z,The genesis contracts of BNB Smart Chain.
81,Solidity,semgrep-smart-contracts,429,59,Solidity,https://github.com/Decurity/semgrep-smart-contracts,Decurity,1,2023-03-31T14:16:46Z,Semgrep rules for smart contracts based on DeFi exploits
82,Solidity,DEX-Arbitrage,423,246,Solidity,https://github.com/jamesbachini/DEX-Arbitrage,jamesbachini,0,2022-12-28T10:56:11Z,Example arbitrage trading bot
83,Solidity,pancake-farm,422,763,Solidity,https://github.com/pancakeswap/pancake-farm,pancakeswap,7,2021-10-11T19:06:26Z,
84,Solidity,art-gobblers,418,52,Solidity,https://github.com/artgobblers/art-gobblers,artgobblers,0,2022-12-09T22:05:55Z,An experimental decentralized art factory by Justin Roiland and Paradigm.
85,Solidity,smart-contract,406,279,Solidity,https://github.com/Fankouzu/smart-contract,Fankouzu,2,2021-01-02T06:53:31Z,学习智能合约
86,Solidity,solidity-bytes-utils,395,81,Solidity,https://github.com/GNSPS/solidity-bytes-utils,GNSPS,3,2023-03-28T01:07:29Z,Utility Solidity library composed of basic operations for tightly packed bytes arrays
87,Solidity,erc-1155,394,203,Solidity,https://github.com/enjin/erc-1155,enjin,10,2023-03-16T13:45:44Z,ERC-1155: Smart Contract Sample Implementation
88,Solidity,hot-chain-svg,384,46,Solidity,https://github.com/w1nt3r-eth/hot-chain-svg,w1nt3r-eth,4,2023-01-20T17:08:13Z,
89,Solidity,aave-flashloan-mix,381,259,Solidity,https://github.com/brownie-mix/aave-flashloan-mix,brownie-mix,15,2022-08-07T11:14:09Z,A Brownie mix containing all you need to get started with developing flash loans
90,Solidity,keep3r.network,375,123,Solidity,https://github.com/keep3r-network/keep3r.network,keep3r-network,10,2022-08-28T02:12:22Z,An incentivized keeper network for anonymous keeper and job registration
91,Solidity,damn-vulnerable-defi-foundry,366,92,Solidity,https://github.com/nicolasgarcia214/damn-vulnerable-defi-foundry,nicolasgarcia214,2,2023-03-15T22:36:32Z,Damn Vulnerable DeFi - Foundry Version
92,Solidity,eth-arbitrage,356,114,Solidity,https://github.com/Devilla/eth-arbitrage,Devilla,4,2023-03-17T05:46:38Z,A DeFi Arbitrage Bot with DyDx Flashloans.
93,Solidity,solidity-idiosyncrasies,347,50,Solidity,https://github.com/miguelmota/solidity-idiosyncrasies,miguelmota,0,2020-11-30T02:11:40Z,"Solidity gotchas, pitfalls, limitations, and idiosyncrasies."
94,Solidity,frax-solidity,347,134,Solidity,https://github.com/FraxFinance/frax-solidity,FraxFinance,0,2023-04-03T16:39:31Z,Solidity implementation of the Frax Protocol
95,Solidity,clone-factory,342,84,Solidity,https://github.com/optionality/clone-factory,optionality,8,2022-08-20T20:46:59Z,Simple clone contract factory
96,Solidity,forge-template,342,97,Solidity,https://github.com/foundry-rs/forge-template,foundry-rs,1,2022-12-07T04:58:31Z,Forkable template to get you started with Foundry's Forge
97,Solidity,LayerZero,341,259,Solidity,https://github.com/LayerZero-Labs/LayerZero,LayerZero-Labs,11,2023-02-04T02:14:57Z,An Omnichain Interoperability Protocol
98,Solidity,security-oracle-smart-contracts,335,9,Solidity,https://github.com/shentufoundation/security-oracle-smart-contracts,shentufoundation,0,2021-01-21T19:56:43Z,Smart Contracts for CertiK Security Oracle
99,Solidity,abdk-libraries-solidity,329,106,Solidity,https://github.com/abdk-consulting/abdk-libraries-solidity,abdk-consulting,0,2023-02-16T19:18:25Z,Open-Source Libraries for Solidity by ABDK Consulting
100,Solidity,CryptoVulhub,326,71,Solidity,https://github.com/Rivaill/CryptoVulhub,Rivaill,1,2022-04-23T01:35:12Z,Analyze and reproduce attack events or vulnerabilities in the blockchain world.
1,Vyper,yearn-fees,27,1,Vyper,https://github.com/banteg/yearn-fees,banteg,0,2022-07-25T03:25:46Z,a quest for accurate fee accounting
2,Vyper,curve-veBoost,26,13,Vyper,https://github.com/curvefi/curve-veBoost,curvefi,0,2022-07-18T23:02:31Z,Curve veCRV Boost Delegation
3,Vyper,vyper-contracts,26,3,Vyper,https://github.com/tserg/vyper-contracts,tserg,0,2023-02-12T08:38:12Z,Collection of Vyper contracts
4,Vyper,tricrypto-ng,23,6,Vyper,https://github.com/curvefi/tricrypto-ng,curvefi,0,2023-03-31T10:55:38Z,"Automatic Market Maker (AMM) for three unpegged assets, written in Vyper."
5,Vyper,perp-collateral-liquidator,20,10,Vyper,https://github.com/perpetual-protocol/perp-collateral-liquidator,perpetual-protocol,0,2023-03-23T06:29:45Z,
6,Vyper,metaregistry,17,4,Vyper,https://github.com/curvefi/metaregistry,curvefi,0,2022-12-21T17:51:42Z,One Registry to Rule Them All
7,Vyper,vyper-greatest-hits,16,2,Vyper,https://github.com/pynchmeister/vyper-greatest-hits,pynchmeister,0,2023-03-30T10:31:12Z,A collection of Vyper code across various topics and concepts
8,Vyper,uni_snake,15,3,Vyper,https://github.com/pandadefi/uni_snake,pandadefi,0,2022-11-02T10:09:33Z,
9,Vyper,vyper-reference-contracts,14,1,Vyper,https://github.com/charles-cooper/vyper-reference-contracts,charles-cooper,0,2022-07-27T15:10:21Z,reference vyper contracts
10,Vyper,layerzero-vyper-examples,14,0,Vyper,https://github.com/z80dev/layerzero-vyper-examples,z80dev,0,2023-02-26T21:04:09Z,Vyper examples of LZ-enabled Omnichain contracts
11,Vyper,crvfunder,13,3,Vyper,https://github.com/vefunder/crvfunder,vefunder,0,2022-03-28T22:05:23Z,A Curve DAO-controlled fundraising smart contract system that directs inflation to funding-seekers.
